name,x,y
SP,2021-03-21,74
SP,2021-03-28,55
SP,2021-04-04,56
SP,2021-04-11,53
SP,2021-04-18,93
SP,2021-04-25,81
SP,2021-05-02,93
SP,2021-05-09,91
SP,2021-05-16,83
SP,2021-05-23,85
SP,2021-05-30,82
SP,2021-06-06,91
SP,2021-06-13,79
SP,2021-06-20,78
SP,2021-06-27,30
TO,2020-12-27,4
TO,2021-01-03,12
TO,2021-01-10,10
TO,2021-01-17,10
TO,2021-01-24,3
TO,2021-01-31,12
TO,2021-02-07,11
TO,2021-02-14,11
TO,2021-02-21,12
TO,2021-02-28,7
TO,2021-03-07,7
TO,2021-03-14,8
TO,2021-03-21,13
TO,2021-03-28,11
TO,2021-04-04,8
TO,2021-04-11,13
TO,2021-04-18,10
TO,2021-04-25,8
TO,2021-05-02,14
TO,2021-05-09,11
TO,2021-05-16,8
TO,2021-05-23,8
TO,2021-05-30,12
TO,2021-06-06,8
TO,2021-06-13,6
TO,2021-06-20,7
TO,2021-06-27,3
